Sample Name,Spike used,Sample Wt (g),Spike Wt (g),U fraction vol (mL),Th fraction vol (mL),Date of chemistry,U samp #,Th samp #,U samp tail #,U std1 #,U std1 tail #,U std2 #,U std2 tail #,Th std 1 #,Th std 2 #,U std conc (pg/g),Th std conc (ng/g), ,Enter Names or Values Here
Procedural blank,Calcite,0,0.01879,0.5,0.3,1/10/2025,12468,12533,12466,12465,12466,12471,12472,12531,12535,12.5,0.5,Filename for U samp,U samp_no tail_meas.csv
AB10-A,Calcite,0.13334,0.0811,7.368421053,0.3,1/10/2025,12474,12537,12472,12471,12472,12477,12478,12535,12539,12.5,0.5,Filename for Th samp,Th samp_meas.csv
AB10-B,Calcite,0.0998,0.07967,4.175438596,0.3,1/10/2025,12480,12541,12478,12477,12478,12483,12484,12539,12543,12.5,0.5,Filename for U standards,U std_no tail_meas.csv
AB10-C,Calcite,0.10495,0.08789,3.192982456,0.3,1/10/2025,12486,12545,12484,12483,12484,12489,12490,12543,12547,12.5,0.5,Filename for U tail,U tail-237-236.5-234.5-233.5_meas.csv
AB10-D,Calcite,0.11475,0.0746,10.31578947,0.3,1/10/2025,12492,12549,12490,12489,12490,12495,12496,12547,12551,12.5,0.5,Filename for Th standards,Th std_meas.csv
AB10-E,Calcite,0.10281,0.07872,1,0.3,1/10/2025,12498,12553,12496,12495,12496,12501,12502,12551,12555,12.5,0.5,230Th/232Th Tail Correction,2.40E-07
AB10-F,Calcite,0.12472,0.0752,1,0.3,1/10/2025,12504,12557,12502,12501,12502,12507,12508,12555,12559,12.5,0.5,U239/U238 ratio,2.31E-06
AB10-G,Calcite,0.1002,0.08637,1,0.3,1/10/2025,12510,12561,12508,12507,12508,12513,12514,12559,12563,12.5,0.5,Detrital Th230/Th232 ratio,4.4
AB10-H,Calcite,0.11684,0.08007,12.77192982,0.3,1/10/2025,12516,12565,12514,12513,12514,12519,12520,12563,12567,12.5,0.5,Detrital Th230/Th232 uncertainty ,2.2
AB10-I,Calcite,0.11373,0.07974,4.666666667,0.3,1/10/2025,12522,12569,12520,12519,12520,12525,12526,12567,12571,12.5,0.5,Counts Per Second Per Volt,62415093
