238U/236U,Error,238U/235U,Error,236U/233U,Error,238U/234U,Error,238U (V),Error,236U (V),Error,234U (cps),Error,Sample Name,Date and Time,File Number
2.461225E+04,1.83E+05,1.407460E+02,1.05E-02,-6.467978E-01,6.85E-01,2.301059E+04,1.54E+01,1.394757E+01,1.25E-02,1.746165E-07,5.38E-06,3.781877E+04,4.78E+01,U 13.5 ppb,Analysed on 17 January 2025 at 13:07,12465
4.567951E+05,2.83E+05,1.407523E+02,1.20E-02,1.662272E+00,2.00E+00,2.299030E+04,1.81E+01,1.334829E+01,1.49E-02,7.077679E-07,4.66E-06,3.624299E+04,4.48E+01,U 13.5 ppb,Analysed on 17 January 2025 at 13:25,12471
1.419996E+06,8.18E+05,1.407931E+02,1.25E-02,3.370990E-01,1.38E+00,2.297880E+04,1.77E+01,1.312529E+01,1.41E-02,-8.135698E-06,5.77E-06,3.565561E+04,4.98E+01,U 13.5 ppb,Analysed on 17 January 2025 at 13:46,12477
-6.109538E+05,2.22E+05,1.407961E+02,1.08E-02,-1.089326E+00,7.22E-01,2.302027E+04,1.85E+01,1.304765E+01,1.30E-02,-1.251677E-06,6.41E-06,3.538094E+04,4.88E+01,U 13.5 ppb,Analysed on 17 January 2025 at 14:06,12483
-8.997925E+03,2.44E+05,1.407674E+02,1.06E-02,2.641086E-01,1.08E+00,2.300539E+04,1.43E+01,1.332058E+01,1.16E-02,6.065833E-06,5.64E-06,3.614405E+04,4.10E+01,U 13.5 ppb,Analysed on 17 January 2025 at 14:26,12489
1.042604E+05,1.44E+05,1.408259E+02,1.30E-02,5.172864E-01,1.04E+00,2.301946E+04,1.47E+01,1.300858E+01,1.40E-02,1.612158E-05,6.65E-06,3.527576E+04,4.15E+01,U 13.5 ppb,Analysed on 17 January 2025 at 14:47,12495
4.065608E+05,1.55E+05,1.408129E+02,1.12E-02,-1.032996E-01,7.21E-01,2.304464E+04,1.86E+01,1.306155E+01,1.24E-02,2.903421E-05,4.83E-06,3.538114E+04,4.68E+01,U 13.5 ppb,Analysed on 17 January 2025 at 15:07,12501
-2.122010E+05,4.31E+05,1.407925E+02,1.28E-02,-3.944464E-02,1.16E+00,2.302558E+04,1.58E+01,1.308088E+01,1.30E-02,1.538742E-05,5.03E-06,3.543788E+04,4.62E+01,U 13.5 ppb,Analysed on 17 January 2025 at 15:28,12507
-2.055276E+05,1.94E+05,1.408675E+02,1.55E-02,6.873330E-01,2.23E+00,2.302925E+04,1.42E+01,1.283497E+01,9.75E-03,-2.455614E-06,5.50E-06,3.479024E+04,3.44E+01,U 13.5 ppb,Analysed on 17 January 2025 at 15:48,12513
-7.604498E+04,4.58E+05,1.408736E+02,1.09E-02,2.061939E+00,1.18E+00,2.300869E+04,1.46E+01,1.282910E+01,1.19E-02,-1.523283E-05,6.32E-06,3.480848E+04,3.49E+01,U 13.5 ppb,Analysed on 17 January 2025 at 16:09,12519
-2.856489E+05,2.75E+05,1.408213E+02,1.59E-02,-1.330628E-01,6.23E-01,2.302224E+04,1.76E+01,1.281128E+01,2.10E-02,5.432914E-06,5.90E-06,3.473668E+04,6.07E+01,U 13.5 ppb,Analysed on 17 January 2025 at 16:29,12525
